manufacturer_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,engine_capacity,body_type,has_warranty,ownership,type_of_drive,is_exchangeable,number_of_photos,number_of_maintenance,duration_listed,price_usd
Volkswagen,automatic,black,130000,2016,diesel,diesel,1.6,universal,False,owned,front,True,12.0,38,31.0,13150.0
Renault,manual,brown,149000,2012,gasoline,gasoline,1.6,sedan,False,owned,front,False,9.0,3,31.0,7500.0
Kia,automatic,brown,110000,2014,gasoline,gasoline,1.6,hatchback,False,owned,front,False,5.0,10,31.0,12200.0
Opel,automatic,other,255100,2007,gasoline,gasoline,1.8,hatchback,False,owned,front,False,10.0,4,31.0,4950.0
Mazda,manual,blue,650000,1999,gasoline,gasoline,2.0,sedan,False,owned,front,True,5.0,7,31.0,3000.0
Opel,automatic,silver,368632,2000,diesel,diesel,2.2,suv,False,owned,rear,True,5.0,3,31.0,3999.0
Renault,manual,red,367000,1997,gasoline,gasoline,1.4,sedan,False,owned,front,True,6.0,18,24.0,940.0
Hyundai,automatic,white,135000,2012,gasoline,gasoline,2.0,sedan,False,owned,front,False,7.0,2,31.0,11500.0
Mitsubishi,automatic,silver,200800,2004,gasoline,gasoline,2.4,suv,False,owned,all,False,12.0,4,14.0,5850.0
Citroen,manual,silver,300000,1997,gasoline,gasoline,1.8,hatchback,False,owned,front,False,3.0,5,28.0,700.0
Dacia,manual,white,151000,2016,diesel,diesel,1.5,minivan,False,owned,front,False,11.0,2,3.0,9500.0
Opel,manual,blue,240000,2000,diesel,diesel,2.0,minivan,False,owned,front,False,3.0,2,31.0,4150.0
ВАЗ,automatic,silver,34000,2017,gasoline,gasoline,1.8,sedan,False,owned,front,True,12.0,47,31.0,8950.0
BMW,automatic,black,169613,2013,diesel,diesel,2.0,universal,False,owned,all,False,12.0,22,31.0,20800.0
Mazda,automatic,blue,289682,2000,gasoline,gasoline,1.6,sedan,False,owned,front,True,12.0,58,31.0,3550.0
Fiat,manual,white,654321,1998,diesel,diesel,2.5,pickup,False,owned,front,False,7.0,1,17.0,6300.0
Chevrolet,automatic,black,210000,2012,diesel,diesel,2.2,suv,False,owned,all,False,12.0,1,31.0,13500.0
Hyundai,manual,silver,290000,2002,diesel,diesel,2.0,suv,False,owned,front,True,12.0,36,31.0,6500.0
Audi,automatic,silver,278000,2001,gas,gasoline,3.7,sedan,False,owned,all,True,6.0,13,31.0,7300.0
Cadillac,automatic,black,111111,2000,gasoline,gasoline,4.6,sedan,False,owned,front,True,3.0,9,31.0,5750.0
Renault,manual,brown,300000,1998,diesel,diesel,1.9,hatchback,False,owned,front,True,8.0,16,31.0,2200.0
Opel,manual,grey,182000,2012,gasoline,gasoline,2.0,minivan,False,owned,front,True,11.0,2,11.0,12499.0
