,manufacturer_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,engine_capacity,body_type,has_warranty,ownership,type_of_drive,is_exchangeable,number_of_photos,number_of_maintenance,duration_listed,price_usd
296,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,16401.88
385,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,2,27166.37
411,Skoda,automatic,white,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,12,26,24440.86
419,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,15473.3
551,Skoda,manual,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,3,27071.99
561,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,13,26,18226.31
612,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,1,27341.36
614,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,23890.26
742,Skoda,automatic,grey,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,10,26,20432.5
765,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,13,26,26139.62
1065,Skoda,automatic,other,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,2,24919.38
1221,Hyundai,automatic,brown,0,2019,diesel,diesel,2.0,suv,False,new,all,False,7,10,12,32090.0
1230,Skoda,automatic,silver,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,38222.99
1262,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,2,3,37763.92
1282,Skoda,automatic,black,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,23892.16
1354,Skoda,automatic,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,20077.3
1510,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14544.72
1674,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14746.28
1682,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,17863.5
1949,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,19189.98
1953,Skoda,automatic,brown,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,11,25,38222.99
1960,Skoda,manual,black,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,11,25,25848.9
2227,Skoda,automatic,black,0,2019,gasoline,gasoline,2.0,sedan,True,new,front,True,15,1,0,32191.98
2279,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,10,26,26981.41
2314,Skoda,automatic,green,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,23826.71
2388,Mercedes-Benz,automatic,silver,0,2019,gasoline,gasoline,1.3,sedan,False,new,front,False,13,2,3,34228.29
2397,Nissan,automatic,white,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,1,48,83,28200.0
2501,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,2,27595.56
2662,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,16401.88
2792,Fiat,manual,white,0,2019,diesel,diesel,1.6,van,False,new,front,True,16,162,385,21351.41
2869,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16954.38
2925,Chery,automatic,white,0,2019,gasoline,gasoline,2.0,suv,False,new,front,False,17,3,19,16077.02
3036,Ford,automatic,blue,0,2018,gasoline,gasoline,1.5,suv,True,new,all,True,13,6,27,23000.0
3126,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,2,17490.75
3206,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14544.72
3233,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,18499.0
3328,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,15227.64
3350,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14200.42
3370,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,18965.66
3377,Mercedes-Benz,automatic,red,0,2019,gasoline,gasoline,1.3,hatchback,False,new,front,False,8,3,4,32900.0
3417,Skoda,automatic,black,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,23471.5
3432,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,2,24982.45
3481,Skoda,automatic,black,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,3,17490.75
3514,Skoda,automatic,white,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,10,26,35174.51
3593,Skoda,automatic,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16788.39
3841,Skoda,manual,green,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,1,2,25072.09
3860,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14746.28
3885,Skoda,automatic,black,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,2,3,36329.32
3897,Infiniti,automatic,black,0,2019,gasoline,gasoline,2.0,suv,False,new,all,False,11,12,227,47000.0
3948,Hyundai,automatic,black,0,2019,gasoline,gasoline,2.0,universal,False,new,all,False,1,1,16,23717.16
3981,Skoda,automatic,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16679.31
3987,Skoda,automatic,other,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,9,25,39272.5
4030,Skoda,manual,brown,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,12,26,25673.91
4112,Skoda,automatic,silver,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,13,26,37816.08
4153,Skoda,automatic,green,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,38829.08
4444,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,16,31,16179.93
4605,Skoda,automatic,grey,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,2,27166.37
4746,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,1,23824.81
4838,Skoda,automatic,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18759.37
4840,Skoda,automatic,grey,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,36271.46
4855,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,15446.74
4956,Skoda,automatic,other,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,3,17945.56
4979,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,15228.59
5052,Skoda,automatic,silver,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,38638.91
5095,Mercedes-Benz,automatic,black,0,2019,gasoline,gasoline,1.6,suv,False,new,front,False,8,3,4,31500.0
5184,Skoda,manual,grey,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,19736.79
5305,Hyundai,automatic,white,0,2019,diesel,diesel,2.0,suv,False,new,all,False,8,42,46,27900.0
5429,Skoda,manual,other,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,15,31,28136.68
5528,Skoda,manual,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16623.83
5553,Hyundai,automatic,black,0,2018,gasoline,gasoline,1.6,suv,False,new,all,False,1,1,16,30304.47
5716,Mazda,automatic,grey,0,2019,gasoline,gasoline,2.5,suv,True,new,all,True,1,42,83,35200.0
5742,LADA,manual,white,0,2019,gas,gasoline,1.6,sedan,False,new,front,False,15,10,156,12150.0
5832,Jeep,manual,grey,0,2016,diesel,diesel,2.8,suv,False,new,all,False,4,94,252,43000.0
6006,Skoda,automatic,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,18487.62
6064,Skoda,automatic,grey,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,2,24919.38
6143,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.4,suv,True,new,all,True,15,12,26,32942.24
6229,Skoda,automatic,brown,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,33893.58
6258,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14544.72
6657,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,14544.72
6733,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14746.28
6797,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,35957.98
6923,Kia,automatic,brown,0,2019,gasoline,gasoline,1.6,sedan,False,new,front,True,15,182,412,15166.46
6977,Skoda,automatic,white,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,1,2,26630.47
7143,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,39288.15
7248,Skoda,automatic,white,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,11,25,36718.68
