manufacturer_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,engine_capacity,body_type,has_warranty,ownership,type_of_drive,is_exchangeable,number_of_photos,number_of_maintenance,duration_listed,price_usd
Volkswagen,automatic,black,130000,2016,diesel,diesel,1.6,universal,False,owned,front,True,17,38,67,13150.0
Renault,manual,brown,149000,2012,gasoline,gasoline,1.6,sedan,False,owned,front,False,9,3,100,7500.0
Kia,automatic,brown,110000,2014,gasoline,gasoline,1.6,hatchback,False,owned,front,False,5,10,91,12200.0
Opel,automatic,other,255100,2007,gasoline,gasoline,1.8,hatchback,False,owned,front,False,10,4,91,4950.0
Mazda,manual,blue,650000,1999,gasoline,gasoline,2.0,sedan,False,owned,front,True,5,7,62,3000.0
Opel,automatic,silver,368632,2000,diesel,diesel,2.2,suv,False,owned,rear,True,5,3,90,3999.0
Renault,manual,red,367000,1997,gasoline,gasoline,1.4,sedan,False,owned,front,True,6,18,24,940.0
Hyundai,automatic,white,135000,2012,gasoline,gasoline,2.0,sedan,False,owned,front,False,7,2,101,11500.0
Mitsubishi,automatic,silver,200800,2004,gasoline,gasoline,2.4,suv,False,owned,all,False,16,4,14,5850.0
Citroen,manual,silver,300000,1997,gasoline,gasoline,1.8,hatchback,False,owned,front,False,3,5,28,700.0
Dacia,manual,white,151000,2016,diesel,diesel,1.5,minivan,False,owned,front,False,11,2,3,9500.0
Opel,manual,blue,240000,2000,diesel,diesel,2.0,minivan,False,owned,front,False,3,2,60,4150.0
ВАЗ,automatic,silver,34000,2017,gasoline,gasoline,1.8,sedan,False,owned,front,True,27,47,70,8950.0
BMW,automatic,black,169613,2013,diesel,diesel,2.0,universal,False,owned,all,False,27,22,39,20800.0
Mazda,automatic,blue,289682,2000,gasoline,gasoline,1.6,sedan,False,owned,front,True,26,58,203,3550.0
Fiat,manual,white,654321,1998,diesel,diesel,2.5,pickup,False,owned,front,False,7,1,17,6300.0
Chevrolet,automatic,black,210000,2012,diesel,diesel,2.2,suv,False,owned,all,False,15,1,42,13500.0
Hyundai,manual,silver,290000,2002,diesel,diesel,2.0,suv,False,owned,front,True,14,36,159,6500.0
Audi,automatic,silver,278000,2001,gas,gasoline,3.7,sedan,False,owned,all,True,6,13,110,7300.0
Cadillac,automatic,black,111111,2000,gasoline,gasoline,4.6,sedan,False,owned,front,True,3,9,45,5750.0
Renault,manual,brown,300000,1998,diesel,diesel,1.9,hatchback,False,owned,front,True,8,16,79,2200.0
Opel,manual,grey,182000,2012,gasoline,gasoline,2.0,minivan,False,owned,front,True,11,2,11,12499.0
Fiat,automatic,blue,268000,1997,gasoline,gasoline,1.6,hatchback,False,owned,front,False,15,11,22,2050.0
Honda,manual,grey,156000,2010,gasoline,gasoline,1.8,sedan,False,owned,front,False,2,1,81,8600.0
Opel,manual,silver,279000,2009,diesel,diesel,2.0,universal,False,owned,front,True,5,12,36,9000.0
BMW,manual,green,392000,1998,gasoline,gasoline,1.9,sedan,False,owned,rear,False,23,2,10,3950.0
Skoda,manual,red,223000,1997,gasoline,gasoline,1.3,hatchback,False,owned,front,False,4,2,68,700.0
Citroen,automatic,other,145000,2003,gasoline,gasoline,2.0,hatchback,False,owned,front,False,8,2,129,3750.0
BMW,manual,silver,333333,2000,diesel,diesel,3.0,sedan,False,owned,rear,True,8,1,15,7999.0
Toyota,manual,other,172000,2006,gasoline,gasoline,1.8,sedan,False,owned,front,False,7,2,151,6900.0
Lexus,automatic,other,200000,2010,gasoline,gasoline,4.6,sedan,False,owned,all,False,5,4,61,19500.0
BMW,automatic,black,400000,1999,gasoline,gasoline,3.5,sedan,False,owned,rear,True,5,14,111,3400.0
BMW,manual,green,430000,2000,gasoline,gasoline,1.8,sedan,False,owned,rear,False,8,7,14,3000.0
